txn_date,industry,segment,geo_type,geo_name,nation_name,boundary_name,Transaction Amount,Transaction Count,Account Count,Average Ticket,Average Frequency,Average Spend Amount,Year-on-Year Transaction Amount,Year-on-Year Transaction Count
1/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,354.29,51.65,45.85,209.23,109.26,241.61,268.93,0.46
1/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,189.6,63.14,64.79,133.21,99.66,135.29,0.68,46.39
1/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,97.3,87.47,87.25,59.16,103.66,65.15,103.89,173.83
1/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,81.53,76.99,77.93,64.62,100.55,65.35,107.7,158.37
1/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,87.83,75.09,76.87,61.98,99.93,63.14,47.61,114.14
1/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,165.65,60.02,59.71,107.3,101.83,110.34,200.04,44.94
1/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,716.67,139.14,126.73,222.45,111.77,249.37,805.46,115.04
1/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,72.6,64.65,65.49,72.29,101.6,76.31,-48.01,44.6
1/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,54.27,74.52,76.29,42.85,100.03,43.99,-4.71,109.05
1/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,61.54,94.42,93.48,42.67,103.81,45.73,92.66,163.64
1/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,74.89,90.68,92.44,58.4,101.28,60.95,14.94,146.14
1/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,185.53,112.75,111.98,77.77,102.59,82.55,510.47,289.5
1/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,131.29,73.86,69.96,75.2,107.42,82.62,130.71,47.05
1/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,380.69,121.76,114.14,135.03,108.59,147.07,67.29,51.69
1/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,116.27,80.93,81.94,95.4,101.92,101.72,0.54,77.32
1/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,104.85,122.33,126,90.12,98.27,88.2,22.62,198.11
1/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,136.86,118.34,119.19,69.85,102.49,73.61,94.25,340.3
1/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,354.37,113.96,116.38,196.91,100.47,204.59,544.81,201.86
1/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,125.75,115.39,115.56,58.26,102.4,61.91,109.34,162.18
1/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,173.33,67.45,66.96,94.96,101.46,97.56,51.75,23.98
1/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,403.37,90.53,87.06,138.59,103.67,146.1,173.48,18.62
1/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,105.69,68.97,69.7,78.21,100.01,78.75,59.26,105.73
1/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,85,91.86,92.49,49.35,101.73,51.46,-51.01,83.87
1/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,99.99,94.23,94.65,59.91,103.75,64.7,120.46,98.19
1/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,266.72,109.81,108.45,119.45,103.67,130.56,12.58,100.41
1/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,127.22,93.89,95.35,61.97,101.43,64.31,194.27,135.9
1/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,181.17,78.98,73.97,90.71,106.94,99.32,52.79,14.1
1/29/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,406.12,87.76,81.74,141.57,105.13,151.55,33.72,-26.25
1/30/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,114.67,85.71,87.79,89.17,100.03,90.28,-24.64,67.09
1/31/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,126.62,90.76,89.38,70.54,104.28,78.43,67.18,162.71
2/1/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,134.81,64.49,65.13,104.45,100.5,107.12,284.56,73
2/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,41.06,90.18,93.54,28.12,98.4,27.71,-11.16,104.55
2/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,113.19,93.17,93.38,69.11,102.16,71.65,9.63,101.49
2/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,230.95,86.55,81.52,96.88,105.75,105.94,242.1,79.63
2/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,629.12,157.22,157.04,172.83,101.91,176.66,393.62,83.31
2/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,129.59,69.58,70.13,106.85,102.15,117.39,-62.61,-32.54
2/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,94.16,84.08,84.86,54.17,101.29,56.81,340.52,183.16
2/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,148.5,123.06,122.61,69.61,103.75,75.65,98.19,195.09
2/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,133.06,82.92,83.45,76.87,101.38,79.34,317.61,80.79
2/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,183.49,104.95,106.38,77.88,101.4,79.98,57.35,114.77
2/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,244.98,78.83,78.48,116.99,101.72,120.54,111.76,-12.9
2/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,461.29,108.62,98.65,133.12,107.52,148.15,183.62,20.82
2/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,69.41,80.5,80.2,50.75,102.37,53.31,-20.56,35.75
2/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,179.02,131.15,134.09,66.96,100.18,69.97,219.93,138.42
2/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,124.88,124.17,127.27,57.37,99.43,57.71,57.29,141.11
2/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,320,171.75,167.6,100.32,106.39,112.97,364.17,191.25
2/17/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,201.75,127.29,129.31,80.78,100.75,82.41,149.18,90.3
2/18/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,315.17,85.27,86.9,136.11,99.37,136.47,172.35,45.07
2/19/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,917.32,194.18,183.05,204.03,107.99,220.99,525.47,137.04
2/20/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,688.3,139.75,134.65,212.72,105.64,225.41,259.58,74.17
2/21/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,59.62,77.37,76.57,44.85,102.1,45.85,-84.23,-30.09
2/22/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,318.87,131.66,134.12,135.69,100.73,141.5,45.66,87.67
2/23/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,131.15,91.68,91.02,67.82,104.15,73.15,203.21,109.93
2/24/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,443.22,121.46,122.8,164.91,100.61,168.95,425.96,123.88
2/25/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,255.68,99.06,98.58,101.16,101.67,105.36,293.25,48.91
2/26/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,628.27,161.41,159.15,168.11,103.24,174.08,295,84.71
2/27/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,107.19,83.37,83.95,67.54,101.46,70.52,-63.78,-11.12
2/28/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,195.9,104.68,103.82,77.23,102.18,82.86,743.09,177.91
3/1/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,308.73,137.63,139.05,101.08,101.11,103.82,318.77,180.98
3/2/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,465.75,172.33,160.54,98.64,107.5,113.92,538.55,238.14
3/3/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,197.82,119.21,117.78,62.79,103.01,66.9,48.04,53.77
3/4/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,415.71,107.91,99.95,136.1,107.05,151.21,203.67,12.84
3/5/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,425.88,97.57,91.18,134.22,106.97,145.98,50,-43.85
3/6/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,108.04,76.12,75.85,67.91,102.24,72.82,-56.46,-22.56
3/7/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,193.81,99.67,100.87,105.51,102.29,109.64,21.11,85.67
3/8/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,217.02,122.06,118.16,92.25,108.13,113.19,408.79,88.33
3/9/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,129.58,93.62,91.6,62.88,104.87,69.66,-23.24,31.56
3/10/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,246.44,128.55,128.58,87.86,101.85,92.72,58.45,65.3
3/11/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,243.44,114.41,114.51,85.28,101.47,87.58,52.83,14.22
3/12/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,313.31,84.12,80.68,125.24,104.25,134.59,27.77,-37.85
3/13/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,165.74,69.91,71.24,103.92,100.11,107.42,-1,-22.9
3/14/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,121.78,91.53,91.02,69.37,103.84,77.5,-37.25,18.11
3/15/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,152.38,109.5,111.52,72.07,99.88,72.78,41.85,51.24
3/16/2023,Total Retail,Overall,Msa,Edmonton,Canada,Central Business Site 1,224.69,101.25,100.89,106.79,102.66,117.83,-17.85,0.99
